I0224 01:03:58.134252   11295 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0224 01:49:46.541029   14070 configuration.go:642] language thresholds: map[]
I0224 01:49:46.541046   14070 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0224 01:49:46.541146   14070 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc00188f231 StopSequences:map[] DataFilePromptLines:0}
I0224 01:49:46.541194   14070 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc00188f241 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0224 01:49:46.541494   14070 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0224 01:49:46.541559   14070 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0224 01:49:46.541571   14070 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0224 01:49:46.541638   14070 configuration.go:284] Configured settings for canCancelRequests: true
I0224 01:49:46.541649   14070 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0224 01:49:46.542466   14070 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0224 01:49:46.581462   14070 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I0224 01:49:46.581483   14070 handler.go:163] cancel requested for 1 but not found
W0224 01:49:56.127482   14070 server.go:633] unknown method "$/setTrace"
I0224 01:49:56.141318   14070 configuration.go:182] product updateChannel will be used
W0224 01:49:56.141363   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:49:56.141377   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:49:56.141398   14070 configuration.go:642] language thresholds: map[]
I0224 01:49:56.141416   14070 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0224 01:49:56.141438   14070 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000a82511 StopSequences:map[] DataFilePromptLines:0}
I0224 01:49:56.141482   14070 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000a82521 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0224 01:49:56.141536   14070 configuration.go:270] Configured settings for atlasOpts: {"Project":"project-cot5930","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0224 01:49:56.141554   14070 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"project-cot5930","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0224 01:49:56.141564   14070 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0224 01:49:56.141617   14070 configuration.go:284] Configured settings for canCancelRequests: true
I0224 01:49:56.141627   14070 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0224 01:49:56.148328   14070 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0224 01:49:56.148380   14070 configuration.go:792] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0224 01:49:56.148402   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:49:56.148413   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:49:56.260978   14070 experiments.go:154] Applied experiment flag "DuetAiLocalRag__enable_local_rag" to enableRAGL with value true
I0224 01:49:56.261012   14070 experiments.go:198] Applied experiment flag "DuetAiLocalRag__include_doc_files" to includeDocFiles with value false
I0224 01:49:56.261024   14070 experiments.go:202] Applied experiment flag "DuetAiLocalRag__include_unit_test_files" to includeUnitTestFile with value false
I0224 01:49:56.261041   14070 experiments.go:119] Applied experiment flag "DuetAiCloudCodeAPI__enable_cloudcode_api" to useCloudCodeAPI with value true
I0224 01:49:56.261072   14070 experiments.go:135] Applied experiment flag "DuetAiProcessors__enable_prompt_recitations_check" to cloudCodeOpts.EnablePromptEnhancement with value true
I0224 01:49:56.261096   14070 experiments.go:147] Applied experiment flag "GcaCitationBlock__enable_citation_block" to cloudCodeOpts.EnableAdminCitationBlock with value false
I0224 01:49:56.261125   14070 experiments.go:139] Applied experiment flag "DuetAICodeTransform__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForTransform with value true
I0224 01:49:56.261139   14070 experiments.go:158] Applied experiment flag "DuetAiLocalRag__enable_local_rag_chat" to enableRAGLChat with value true
I0224 01:49:56.261156   14070 experiments.go:143] Applied experiment flag "Chat__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForChat with value true
I0224 01:49:56.261173   14070 experiments.go:162] Applied experiment flag "DuetAiLocalRag__enable_local_rag_completion" to enableRAGLCompletion with value true
I0224 01:49:56.261193   14070 experiments.go:111] Applied experiment flag "Chat__chat_context_window_size" to chat.contextWindowSize with value -1
I0224 01:49:56.261213   14070 experiments.go:206] Applied experiment flag "DuetAiLocalRag__max_file_search_depth" to maxFileSearchDepth with value 2
I0224 01:49:56.261231   14070 experiments.go:186] Applied experiment flag "DuetAiLocalRag__otherfiles_chat_limit" to otherFilesChatLimit with value 20
I0224 01:49:56.261240   14070 experiments.go:166] Applied experiment flag "DuetAiLocalRag__otherfiles_generation_limit" to otherFilesGenerationLimit with value 40
I0224 01:49:56.261248   14070 experiments.go:115] Applied experiment flag "Chat__fca_chat_context_window_size" to chat.fcaContextWindowSize with value 450000
I0224 01:49:56.261266   14070 experiments.go:218] Applied experiment flag "DuetAiLocalRag__top_k_doc_files_to_include" to topKDocFilesToInclude with value 2
I0224 01:49:56.261306   14070 experiments.go:222] Applied experiment flag "DuetAiLocalRag__top_k_test_files_to_include" to topKTestFilesToInclude with value 2
I0224 01:49:56.261321   14070 experiments.go:127] Applied experiment flag "DuetAiMendelOverrides__inlineSuggestions_debounceMs" to completionOpts.debounce with value 300
I0224 01:49:56.261337   14070 experiments.go:107] Applied experiment flag "DuetAiGeneration__codeGeneration_context_window_size" to otherFilesGenerationSizeLimit with value 64000
I0224 01:49:56.261357   14070 experiments.go:182] Applied experiment flag "DuetAiLocalRag__otherfiles_completion_limit" to otherFilesCompletionLimit with value 15
I0224 01:49:56.261382   14070 experiments.go:226] Applied experiment flag "DuetAiLocalRag__local_rag_reranking_by_language" to localRAGRerankingByLanguageParam with value 0
I0224 01:49:56.261397   14070 experiments.go:123] Applied experiment flag "DuetAiMendelOverrides__codeCompletion_defaultThreshold" to completionOpts.minScoreTheshold with value -4.1
I0224 01:49:56.261413   14070 experiments.go:170] Applied experiment flag "DuetAiLocalRag__cache_co_located" to coLocated with value 20
I0224 01:49:56.261425   14070 experiments.go:174] Applied experiment flag "DuetAiLocalRag__cache_file_limit" to fileLimit with value 524288
I0224 01:49:56.261436   14070 experiments.go:178] Applied experiment flag "DuetAiLocalRag__cache_total_files" to totalFiles with value 250
I0224 01:49:56.261449   14070 experiments.go:190] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_completion" to multiQueryTailNS with value []
I0224 01:49:56.261473   14070 experiments.go:194] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_generation" to multiQueryTailNS with value []
I0224 01:49:56.261494   14070 experiments.go:210] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_doc_prompts" to substringsToIdentifyDocPrompts with value [document comment]
I0224 01:49:56.261526   14070 experiments.go:214] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_test_prompts" to substringsToIdentifyTestPrompts with value [test]
W0224 01:49:56.261549   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:49:56.261558   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:49:56.261590   14070 configuration.go:468] Repopulating context cache from document cache
I0224 01:49:56.261692   14070 cloudcode.go:43] Using Cloud Code API
I0224 01:49:56.262683   14070 client.go:287] CompleteCode request: {"enablePromptEnhancement":true,"ideContext":{"currentFile":{"segments":[{"content":"Code Assist healthcheck id: 9030ac74-cbfb-4a0f-ba8e-67ccbdd316b2\nPi = "},{"isSelected":true},{}]}},"metadata":{"ideType":"CLOUD_SHELL","ideVersion":"1.94.2-cde","platform":"LINUX_AMD64","pluginType":"CLOUD_CODE","pluginVersion":"2.25.0"},"project":"project-cot5930","requestId":"cloudcode-718125841-5e8177ff-e811-4c8e-b017-fc7c31709b45"}
I0224 01:49:56.265664   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/gemini.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.265770   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/download.json=map[COLOCATED:COLOCATED]
I0224 01:49:56.265783   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/README-cloudshell.txt=map[COLOCATED:COLOCATED]
I0224 01:49:56.265804   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/main.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.265815   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/requirements.txt=map[COLOCATED:COLOCATED]
I0224 01:49:56.265823   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/storage.py=map[COLOCATED:COLOCATED]
I0224 01:49:56.265967   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/requirements.txt=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.265984   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/main.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.265996   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/gemini.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.266005   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/download.json=map[COLOCATED:COLOCATED]
I0224 01:49:56.266014   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/README-cloudshell.txt=map[COLOCATED:COLOCATED]
I0224 01:49:56.266023   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/storage.py=map[COLOCATED:COLOCATED]
I0224 01:49:56.266141   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/download.json=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.266154   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/README-cloudshell.txt=map[COLOCATED:COLOCATED]
I0224 01:49:56.266163   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/gemini.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.266172   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/main.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.266182   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/requirements.txt=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:49:56.266191   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/storage.py=map[COLOCATED:COLOCATED]
I0224 01:50:06.228344   14070 client.go:287] CompleteCode request: {"enablePromptEnhancement":true,"ideContext":{"currentFile":{"segments":[{"content":"Code Assist healthcheck id: 9506cdd2-6d38-49f4-a354-02f42c4837fd\nPi = "},{"isSelected":true},{}]}},"metadata":{"ideType":"CLOUD_SHELL","ideVersion":"1.94.2-cde","platform":"LINUX_AMD64","pluginType":"CLOUD_CODE","pluginVersion":"2.25.0"},"project":"project-cot5930","requestId":"cloudcode-718125841-59434270-eca4-4f17-a9f6-d9c0468385fa"}
I0224 01:50:06.531636   14070 client.go:287] CompleteCode request: {"enablePromptEnhancement":true,"ideContext":{"currentFile":{"segments":[{"content":"Code Assist healthcheck id: 957db5b7-c652-4381-bc03-6d59477c181b\nPi = "},{"isSelected":true},{}]}},"metadata":{"ideType":"CLOUD_SHELL","ideVersion":"1.94.2-cde","platform":"LINUX_AMD64","pluginType":"CLOUD_CODE","pluginVersion":"2.25.0"},"project":"project-cot5930","requestId":"cloudcode-718125841-6a48075f-431e-4c6f-bff5-386dac03b6d2"}
I0224 01:50:06.821591   14070 conversation.go:123] New conversation started, chat history reset
I0224 01:50:07.026587   14070 conversation.go:522] Starting getChatIDEContext with detected intent: 
I0224 01:50:07.026640   14070 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0224 01:50:07.026732   14070 ide_context.go:131] Unable to read file at /home/leozhontai561/.aiexclude
/home/leozhontai561
file:///home/leozhontai561
I0224 01:50:07.026751   14070 conversation.go:559] Unable to retrieve excluded files for request #9: open /home/leozhontai561/.aiexclude: no such file or directory
I0224 01:50:07.026780   14070 rag_cache.go:821] Retrieving and scoring colocated and open files
I0224 01:50:07.026803   14070 rag_cache.go:851] rerankByLangBoost=0
I0224 01:50:07.402142   14070 conversation.go:186] response from ListAgents #&{[]}
I0224 01:50:19.817811   14070 conversation.go:123] New conversation started, chat history reset
I0224 01:50:21.521292   14070 conversation.go:123] New conversation started, chat history reset
I0224 01:50:21.947835   14070 conversation.go:123] New conversation started, chat history reset
I0224 01:50:22.213481   14070 conversation.go:123] New conversation started, chat history reset
I0224 01:50:31.000049   14070 conversation.go:522] Starting getChatIDEContext with detected intent: 
I0224 01:50:31.000101   14070 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0224 01:50:31.000147   14070 ide_context.go:131] Unable to read file at /home/leozhontai561/.aiexclude
/home/leozhontai561
file:///home/leozhontai561
I0224 01:50:31.000161   14070 conversation.go:559] Unable to retrieve excluded files for request #19: open /home/leozhontai561/.aiexclude: no such file or directory
I0224 01:50:31.000246   14070 rag_cache.go:821] Retrieving and scoring colocated and open files
I0224 01:50:31.000257   14070 rag_cache.go:851] rerankByLangBoost=0
I0224 01:50:31.000335   14070 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0224 01:50:31.490953   14070 conversation.go:522] Starting getChatIDEContext with detected intent: 
I0224 01:50:31.490992   14070 document.go:421] NoneEditType, returning ReasonRecentlyOpened
I0224 01:50:31.491027   14070 ide_context.go:131] Unable to read file at /home/leozhontai561/.aiexclude
/home/leozhontai561
file:///home/leozhontai561
I0224 01:50:31.491036   14070 conversation.go:559] Unable to retrieve excluded files for request #24: open /home/leozhontai561/.aiexclude: no such file or directory
I0224 01:50:31.491114   14070 rag_cache.go:821] Retrieving and scoring colocated and open files
I0224 01:50:31.491120   14070 rag_cache.go:851] rerankByLangBoost=0
I0224 01:50:31.491171   14070 document.go:421] NoneEditType, returning ReasonRecentlyOpened
W0224 01:50:32.732276   14070 server.go:633] unknown method "$/setTrace"
I0224 01:50:32.736616   14070 configuration.go:182] product updateChannel will be used
W0224 01:50:32.736661   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:50:32.736675   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:50:32.736696   14070 configuration.go:642] language thresholds: map[]
I0224 01:50:32.736744   14070 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0224 01:50:32.736767   14070 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0019c3a31 StopSequences:map[] DataFilePromptLines:0}
I0224 01:50:32.736799   14070 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0019c3a41 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0224 01:50:32.736839   14070 configuration.go:270] Configured settings for atlasOpts: {"Project":"project-cot5930","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0224 01:50:32.736855   14070 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"project-cot5930","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0224 01:50:32.736876   14070 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:2 raglTopKDocFilesToInclude:2}
I0224 01:50:32.736916   14070 configuration.go:284] Configured settings for canCancelRequests: true
I0224 01:50:32.736928   14070 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0224 01:50:32.737488   14070 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0224 01:50:32.737534   14070 experiments.go:154] Applied experiment flag "DuetAiLocalRag__enable_local_rag" to enableRAGL with value true
I0224 01:50:32.737552   14070 experiments.go:198] Applied experiment flag "DuetAiLocalRag__include_doc_files" to includeDocFiles with value false
I0224 01:50:32.737569   14070 experiments.go:202] Applied experiment flag "DuetAiLocalRag__include_unit_test_files" to includeUnitTestFile with value false
I0224 01:50:32.737585   14070 experiments.go:119] Applied experiment flag "DuetAiCloudCodeAPI__enable_cloudcode_api" to useCloudCodeAPI with value true
I0224 01:50:32.737611   14070 experiments.go:135] Applied experiment flag "DuetAiProcessors__enable_prompt_recitations_check" to cloudCodeOpts.EnablePromptEnhancement with value true
I0224 01:50:32.737630   14070 experiments.go:147] Applied experiment flag "GcaCitationBlock__enable_citation_block" to cloudCodeOpts.EnableAdminCitationBlock with value false
I0224 01:50:32.737655   14070 experiments.go:139] Applied experiment flag "DuetAICodeTransform__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForTransform with value true
I0224 01:50:32.737667   14070 experiments.go:158] Applied experiment flag "DuetAiLocalRag__enable_local_rag_chat" to enableRAGLChat with value true
I0224 01:50:32.737682   14070 experiments.go:143] Applied experiment flag "Chat__display_prompt_recitations" to cloudCodeOpts.EnablePromptEnhancementForChat with value true
I0224 01:50:32.737696   14070 experiments.go:162] Applied experiment flag "DuetAiLocalRag__enable_local_rag_completion" to enableRAGLCompletion with value true
I0224 01:50:32.737729   14070 experiments.go:111] Applied experiment flag "Chat__chat_context_window_size" to chat.contextWindowSize with value -1
I0224 01:50:32.737747   14070 experiments.go:206] Applied experiment flag "DuetAiLocalRag__max_file_search_depth" to maxFileSearchDepth with value 2
I0224 01:50:32.737763   14070 experiments.go:186] Applied experiment flag "DuetAiLocalRag__otherfiles_chat_limit" to otherFilesChatLimit with value 20
I0224 01:50:32.737774   14070 experiments.go:166] Applied experiment flag "DuetAiLocalRag__otherfiles_generation_limit" to otherFilesGenerationLimit with value 40
I0224 01:50:32.737789   14070 experiments.go:115] Applied experiment flag "Chat__fca_chat_context_window_size" to chat.fcaContextWindowSize with value 450000
I0224 01:50:32.737809   14070 experiments.go:218] Applied experiment flag "DuetAiLocalRag__top_k_doc_files_to_include" to topKDocFilesToInclude with value 2
I0224 01:50:32.737829   14070 experiments.go:222] Applied experiment flag "DuetAiLocalRag__top_k_test_files_to_include" to topKTestFilesToInclude with value 2
I0224 01:50:32.737842   14070 experiments.go:127] Applied experiment flag "DuetAiMendelOverrides__inlineSuggestions_debounceMs" to completionOpts.debounce with value 300
I0224 01:50:32.737856   14070 experiments.go:107] Applied experiment flag "DuetAiGeneration__codeGeneration_context_window_size" to otherFilesGenerationSizeLimit with value 64000
I0224 01:50:32.737887   14070 experiments.go:182] Applied experiment flag "DuetAiLocalRag__otherfiles_completion_limit" to otherFilesCompletionLimit with value 15
I0224 01:50:32.737909   14070 experiments.go:226] Applied experiment flag "DuetAiLocalRag__local_rag_reranking_by_language" to localRAGRerankingByLanguageParam with value 0
I0224 01:50:32.737921   14070 experiments.go:123] Applied experiment flag "DuetAiMendelOverrides__codeCompletion_defaultThreshold" to completionOpts.minScoreTheshold with value -4.1
I0224 01:50:32.737937   14070 experiments.go:170] Applied experiment flag "DuetAiLocalRag__cache_co_located" to coLocated with value 20
I0224 01:50:32.737950   14070 experiments.go:174] Applied experiment flag "DuetAiLocalRag__cache_file_limit" to fileLimit with value 524288
I0224 01:50:32.737962   14070 experiments.go:178] Applied experiment flag "DuetAiLocalRag__cache_total_files" to totalFiles with value 250
I0224 01:50:32.737977   14070 experiments.go:190] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_completion" to multiQueryTailNS with value []
I0224 01:50:32.738002   14070 experiments.go:194] Extracted experiment flag "DuetAiRemoteRag__multi_query_tail_ns_for_generation" to multiQueryTailNS with value []
I0224 01:50:32.738021   14070 experiments.go:210] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_doc_prompts" to substringsToIdentifyDocPrompts with value [document comment]
I0224 01:50:32.738044   14070 experiments.go:214] Applied experiment flag "DuetAiLocalRag__substrings_to_identify_test_prompts" to substringsToIdentifyTestPrompts with value [test]
W0224 01:50:32.738075   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:50:32.738085   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 01:50:32.738101   14070 configuration.go:468] Repopulating context cache from document cache
I0224 01:50:32.741671   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/gemini.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
I0224 01:50:32.741721   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/download.json=map[COLOCATED:COLOCATED]
I0224 01:50:32.741757   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/README-cloudshell.txt=map[COLOCATED:COLOCATED]
I0224 01:50:32.741767   14070 rag_cache.go:278] After updateCache: file:///home/leozhontai561/main.py=map[COLOCATED:COLOCATED CURRENTLY_OPEN:CURRENTLY_OPEN]
